"x/h=2: Velocity[i] (m/s)","x/h=2: Direction [0,1,0] (m)","xh2: U","xh2: %y"
-1.8368473365055254E-5,0.0,-0.115748,0.001574
-0.0640018455536423,8.0E-4,-0.117721,0.003864
-0.06997022632356424,0.0016,-0.107861,0.006154
-0.0719357557182095,0.0024,-0.097867,0.008443
-0.07274057439799957,0.0032,-0.088201,0.010733
-0.07296529368086999,0.004,-0.076701,0.013023
-0.07279217805436036,0.0048,-0.06294,0.015312
-0.07232512546569486,0.005600000000000001,-0.047711,0.017602
-0.07160719239884474,0.0064,-0.03086,0.019892
-0.07067624680181539,0.0072,-0.011966,0.022181
-0.06956967677540225,0.008,0.008515,0.024471
-0.06827625653368684,0.0088,0.031838,0.026761
-0.06684126038911262,0.0096,0.05823,0.029051
-0.06526957376754194,0.010400000000000001,0.087427,0.03134
-0.06355977233072668,0.011200000000000002,0.119735,0.03363
-0.06172080518763927,0.012,0.154063,0.03592
-0.05976540986319167,0.0128,0.19046,0.038209
-0.057698461514059975,0.013600000000000001,0.22837,0.040499
-0.055514181429715606,0.0144,0.265019,0.042789
-0.05321406968782462,0.0152,0.300689,0.045078
-0.0508085536801329,0.016,0.324177,0.046223
-0.048303484256250806,0.0168,0.356495,0.048513
-0.04570616507302156,0.0176,0.386076,0.050805
-0.042982579147846076,0.0184,0.410102,0.05309
-0.040141674127870314,0.0192,0.429957,0.05538
-0.037216293682425905,0.02,0.44609,0.05767
-0.03416209792444424,0.020800000000000003,0.457996,0.05996
-0.030967229488899913,0.0216,0.467164,0.06225
-0.027702691063028823,0.022400000000000003,0.47376,0.06454
-0.024218899153197963,0.0232,0.47825,0.06683
-0.02064081825030822,0.024,0.481089,0.06912
-0.016880993178750036,0.0248,0.483339,0.07141
-0.012928783741524926,0.0256,0.485399,0.0737
-0.008820910276589013,0.026400000000000003,0.486967,0.07599
-0.004408558526475384,0.027200000000000002,0.488074,0.07828
1.5515750868077887E-4,0.027999999999999997,0.489166,0.08057
0.005143657590651275,0.0288,0.489935,0.08286
0.010324775068638728,0.0296,0.491165,0.08515
0.016030921897711062,0.0304,0.492174,0.08744
0.022062220970813715,0.031200000000000002,0.493194,0.08973
0.028632563389393906,0.032,0.49407,0.092015
0.035846059874525056,0.032799999999999996,0.495039,0.094305
0.043393219296602545,0.0336,0.496223,0.096595
0.052226996020692515,0.0344,0.497796,0.098885
0.06104901142457329,0.0352,0.499221,0.10118
0.07175357087904316,0.036000000000000004,0.500718,0.10347
0.08271991740024037,0.0368,0.50186,0.10576
0.09488714652245994,0.0376,0.503465,0.10805
0.10852356503046437,0.0384,0.504802,0.11033
0.12215862034113253,0.0392,0.50635,0.11262
0.13871071748620073,0.04,0.507729,0.11491
0.1554608896382546,0.0408,0.508415,0.1172
0.1733306409974821,0.041600000000000005,0.509194,0.11949
0.19337268174003067,0.0424,0.509825,0.12178
0.2134314640627732,0.0432,0.510465,0.12408
0.23553385602351454,0.044000000000000004,0.510793,0.12636
0.25871471451826966,0.044800000000000006,0.510599,0.12865
0.28192041002097945,0.045599999999999995,0.509927,0.13094
0.30716348757696776,0.0464,0.50881,0.13323
0.3326722426827651,0.0472,0.506729,0.13553
0.35804549251389794,0.048,0.503403,0.13781
0.380501892581978,0.0488,0.498319,0.1401
0.4029702097998256,0.0496,0.491349,0.14239
0.42418080390750024,0.0504,0.480084,0.14468
0.437403628634189,0.0512,0.461588,0.14697
0.4506251278505073,0.052000000000000005,null,null
0.462643036134212,0.05280000000000001,null,null
0.4679599684754626,0.0536,null,null
0.47327702868786325,0.054400000000000004,null,null
0.4782570372363412,0.0552,null,null
0.4802930132756027,0.055999999999999994,null,null
0.48232919638221355,0.056799999999999996,null,null
0.48436483388359375,0.0576,null,null
0.4855027487384351,0.0584,null,null
0.4866339893344284,0.0592,null,null
0.48776533200846245,0.06,null,null
0.48873793070695065,0.0608,null,null
0.48967819157897585,0.0616,null,null
0.4906188335479591,0.062400000000000004,null,null
0.49152867446804677,0.0632,null,null
0.49241993834196063,0.064,null,null
0.49331173395255845,0.06480000000000001,null,null
0.49417713494805987,0.06559999999999999,null,null
0.4949977405435614,0.0664,null,null
0.49581886607573,0.0672,null,null
0.4966289032770035,0.068,null,null
0.4973269427219552,0.0688,null,null
0.4980254241894043,0.0696,null,null
0.498724348297814,0.0704,null,null
0.49930072071502307,0.0712,null,null
0.4998448809842597,0.07200000000000001,null,null
0.5003894122841288,0.0728,null,null
0.5008575893642031,0.0736,null,null
0.5012400921759201,0.07440000000000001,null,null
0.501622919453125,0.0752,null,null
0.5019837473480289,0.076,null,null
0.5022125654872898,0.0768,null,null
0.5024416397539058,0.0776,null,null
0.5026709704628335,0.0784,null,null
0.5027883056334692,0.0792,null,null
0.5028808129607989,0.08,null,null
0.5029735771263668,0.0808,null,null
0.5030003570011996,0.0816,null,null
0.5029607441719304,0.0824,null,null
0.5029213835284186,0.08320000000000001,null,null
0.5028563365183039,0.084,null,null
0.502684976578589,0.0848,null,null
0.5025138300475827,0.08560000000000001,null,null
0.5023428971520756,0.0864,null,null
0.5020542244111044,0.08720000000000001,null,null
0.5017551120316667,0.08800000000000001,null,null
0.5014562110172893,0.0888,null,null
0.5010693126680503,0.08960000000000001,null,null
0.5006392208526268,0.0904,null,null
0.500209318474971,0.09119999999999999,null,null
0.4997194691101697,0.092,null,null
0.49915984104787503,0.0928,null,null
0.49860032089597944,0.0936,null,null
0.4980033312005455,0.0944,null,null
0.4973178423439475,0.09519999999999999,null,null
0.49663245228974345,0.096,null,null
0.49592434761778165,0.0968,null,null
0.4951169460973856,0.0976,null,null
0.49430963802456884,0.0984,null,null
0.4934863078125363,0.0992,null,null
0.492559624358405,0.1,null,null
0.49163303231959793,0.1008,null,null
0.4906889566314235,0.10160000000000001,null,null
0.48964357366263894,0.1024,null,null
0.4885982825646312,0.1032,null,null
0.48752528925353716,0.10400000000000001,null,null
0.4863596117708329,0.1048,null,null
0.48519402913006493,0.10560000000000001,null,null
0.4839803757423488,0.10640000000000001,null,null
0.4826907389848642,0.1072,null,null
0.48140120294769223,0.10800000000000001,null,null
0.4800308398673598,0.10880000000000001,null,null
0.4786116202576995,0.10960000000000002,null,null
0.4771925104790132,0.1104,null,null
0.4756443864443136,0.1112,null,null
0.4740881374282059,0.11199999999999999,null,null
0.47248213877177464,0.1128,null,null
0.4707799777234442,0.11359999999999999,null,null
0.46907794796067637,0.1144,null,null
0.46724761187730945,0.1152,null,null
0.46539089727746824,0.11599999999999999,null,null
0.4634688975570772,0.1168,null,null
0.46145077942195595,0.1176,null,null
0.45942136815405527,0.1184,null,null
0.45723938235175154,0.1192,null,null
0.4550574992530752,0.12,null,null
0.4527429098969225,0.1208,null,null
0.45040007411767596,0.1216,null,null
0.44795482918152835,0.12240000000000001,null,null
0.445458868094354,0.1232,null,null
0.44287712915093347,0.12400000000000001,null,null
0.4402388655295114,0.12480000000000001,null,null
0.4375187395258933,0.12560000000000002,null,null
0.43474963323082705,0.1264,null,null
0.43189167505540194,0.1272,null,null
0.4290018802372433,0.128,null,null
0.4260065926361758,0.1288,null,null
0.42298041535583564,0.12960000000000002,null,null
0.4198692160035236,0.1304,null,null
0.41669625904866014,0.13119999999999998,null,null
0.413475852990038,0.132,null,null
0.4101512383673729,0.1328,null,null
0.40676663089199305,0.1336,null,null
0.4033159229464065,0.1344,null,null
0.3997689282649421,0.1352,null,null
0.3961250091656695,0.136,null,null
0.3923900565251849,0.1368,null,null
0.3885521843218634,0.1376,null,null
0.38459829242172694,0.1384,null,null
0.38051394345070544,0.1392,null,null
0.3762832588653181,0.14,null,null
0.3718887943335229,0.1408,null,null
0.36731135385903996,0.1416,null,null
0.3625296827563956,0.1424,null,null
0.35752015839756274,0.1432,null,null
0.3521900734544447,0.14400000000000002,null,null
0.3465481007890423,0.1448,null,null
0.34046383679894815,0.1456,null,null
0.33384591305578915,0.1464,null,null
0.32650868006144285,0.1472,null,null
0.31818571094483095,0.14800000000000002,null,null
0.3082945527700375,0.14880000000000002,null,null
0.2955414222546192,0.1496,null,null
0.27546098679819064,0.1504,null,null
0.22010387954864158,0.1512,null,null
